observableId	simulationConditionId	time	measurement
obs_a	c_4	35.0	0.014224265999999937
obs_a	c_4	45.0	0.01625630400000009
obs_a	c_4	70.0	0.015240284999999826
obs_a	c_4	120.0	0.013885592999999976
obs_b	c_4	0.0	5.08009
obs_b	c_4	1.0	4.23171497
obs_b	c_4	2.0	3.511866217
obs_b	c_4	3.0	3.0800585670000005
obs_b	c_4	5.0	2.3856102640000003
obs_b	c_4	10.0	1.424457236
obs_b	c_4	15.0	1.0180500360000002
obs_b	c_4	20.0	0.6858121500000001
obs_b	c_4	25.0	0.6212950069999998
obs_b	c_4	35.0	0.3749106419999999
obs_b	c_4	45.0	0.3088694719999998
obs_b	c_4	70.0	0.2118397529999998
obs_b	c_4	120.0	0.1554507539999998
