,kp,kt,kd,var
0,0.1,10000000.0,1000000000000000.0,1.152605159343121e-05
1,0.1,1438449.888287663,143844988828766.28,3.3477910206854733e-06
2,0.1,206913.80811147904,20691380811147.902,3.6629984456017226e-06
3,0.1,29763.51441631319,2976351441631.3193,3.59269194709885e-06
4,0.1,4281.332398719396,428133239871.93964,4.068134913231568e-06
5,0.1,615.8482110660267,61584821106.60267,5.556523694726417e-06
6,0.1,88.58667904100832,8858667904.100832,1.3389681560332237e-05
7,0.1,12.742749857031349,1274274985.7031348,0.000122922444297595
8,0.1,1.8329807108324376,183298071.08324376,0.0028204933999793533
9,0.1,0.2636650898730361,26366508.98730361,0.047692415641426865
10,0.1,0.03792690190732254,3792690.190732254,0.23467870048507555
11,0.1,0.005455594781168515,545559.4781168514,0.46948456171691827
12,0.1,0.0007847599703514623,78475.99703514623,0.5670699814658795
13,0.1,0.0001128837891684693,11288.37891684693,0.5836365557636077
14,0.1,1.6237767391887242e-05,1623.7767391887242,0.5860644704561432
15,0.1,2.3357214690901215e-06,233.57214690901216,0.5864209612077662
16,0.1,3.3598182862837884e-07,33.59818286283788,0.5865165543328843
17,0.1,4.832930238571773e-08,4.832930238571772,0.5868384075878327
18,0.1,6.951927961775619e-09,0.6951927961775619,0.5890413563381922
19,0.1,1e-09,0.1,0.6045615972369058
20,0.1,10000000.0,183298071083243.75,6.507324114741921e-06
21,0.1,1438449.888287663,26366508987303.61,6.080161471882852e-06
22,0.1,206913.80811147904,3792690190732.2544,3.415767150310728e-06
23,0.1,29763.51441631319,545559478116.85254,3.59271105179271e-06
24,0.1,4281.332398719396,78475997035.14624,4.0681317433939895e-06
25,0.1,615.8482110660267,11288378916.846907,5.55652367989259e-06
26,0.1,88.58667904100832,1623776739.1887243,1.338970079224211e-05
27,0.1,12.742749857031349,233572146.90901262,0.00012292243664413743
28,0.1,1.8329807108324376,33598182.86283788,0.002820498846430381
29,0.1,0.2636650898730361,4832930.238571762,0.0476923994639715
30,0.1,0.03792690190732254,695192.796177562,0.23467870182182846
31,0.1,0.005455594781168515,100000.0,0.469484579566028
32,0.1,0.0007847599703514623,14384.498882876658,0.567070077800732
33,0.1,0.0001128837891684693,2069.1380811147988,0.5836373108822759
34,0.1,1.6237767391887242e-05,297.6351441631325,0.5860693564986876
35,0.1,2.3357214690901215e-06,42.81332398719396,0.5864548071737331
36,0.1,3.3598182862837884e-07,6.15848211066028,0.5867520137322618
37,0.1,4.832930238571773e-08,0.885866790410087,0.5884835633383038
38,0.1,6.951927961775619e-09,0.12742749857031374,0.6007500615034714
