observableId	simulationConditionId	time	measurement
obs_a	c_0	5.040387722132472	1.56016129
obs_a	c_0	10.080775444264944	1.365483871
obs_a	c_0	29.854604200323102	0.814354839
obs_a	c_0	60.096930533117934	0.474354839
obs_a	c_0	119.80613893376413	0.260483871
obs_a	c_0	240.38772213247174	0.180967742
obs_b	c_0	1.938610662358643	0.293709677
obs_b	c_0	4.652665589660743	0.279677419
obs_b	c_0	10.080775444264944	0.255967742
obs_b	c_0	29.854604200323102	0.181451613
obs_b	c_0	60.096930533117934	0.120483871
obs_b	c_0	120.19386106623587	0.069677419
obs_b	c_0	240.38772213247174	0.039193548
