time_point,k1_delta,k1_delta_conf,k1_S1,k1_S1_conf,k2_delta,k2_delta_conf,k2_S1,k2_S1_conf
0.10101010101010101,-64328.68588079416,74123.65045093463,0.1633886153803518,0.07740057224813437,0.22013059417407832,0.06754793898943201,0.014139664064942327,0.021244776021535357
0.20202020202020202,65700.7477302514,48640.820864980655,0.08081876373780633,0.048080961394400205,0.24887086960518073,0.14301682778956473,0.0075352053751157185,0.023056396559827462
0.30303030303030304,76143.8863515514,58111.66557253834,0.1080620731389724,0.04716461563645503,-2.7126871524447393,59.86281577753242,0.020081919579781088,0.016606862434089122
0.40404040404040403,47692.08235976931,26014.174987922786,0.02984194966840527,0.033580284096727295,-10.493244641065955,141.50645690523666,0.022505346186249015,0.017076685283386857
0.5050505050505051,131160.4138232299,134389.8769681871,0.01728022536636974,0.028912177930828793,-134.96745820072286,1889.0606928333302,0.019620940802385745,0.013681615603083307
0.6060606060606061,644504.6441699528,634109.1355095768,0.04913673236668876,0.0267141060266518,-3822.3184484643994,60885.40983786863,0.014609213505411693,0.014126210855405824
0.7070707070707071,20451.694574924513,66910.31445592073,0.02963141678927255,0.02987754566190982,228636.3950650164,32754.891076695538,0.013796995848658884,0.016414907450949003
0.8080808080808081,80265.70027069762,174028.16445274994,0.061337094587249105,0.027537101045277044,-3252.8725320908907,39064.832385097405,0.011122014782112987,0.019200230239570217
0.9090909090909091,108822.47067540746,109502.85710989211,0.03706002152803566,0.029419623730244163,3822.762337722838,63506.6054120893,0.007881194269094918,0.018697130814663752
1.0101010101010102,179843.0814633038,183230.01020339597,0.01994308373571555,0.026818245689862012,-29519.21239133984,159976.47748404412,0.012113207048604871,0.019107485909809815
1.1111111111111112,-39620.81109968796,81959.98528768742,0.018501009585058344,0.025062732845936745,-7840.042729848128,58216.366251068575,0.007429025995524553,0.016563718273163656
1.2121212121212122,106816.82989508247,64173.424630274014,0.010337285723763526,0.025928798657706916,5759.507435290633,55169.89251252677,0.013784813181449728,0.020057966708707797
1.3131313131313131,-0.20084001031127405,2.5010992924013773,0.009757012871964198,0.028061437991696844,50514.424259352156,220720.25792149745,0.01656759210561198,0.01788292484934145
1.4141414141414141,-0.04271791829916087,5.821454348123812,0.051192491049687996,0.02653227766682929,255137.65311675268,362939.6498939256,0.016665668686151998,0.019954172034255334
1.5151515151515151,599765.6961373597,315810.31773944816,0.03384606209650622,0.02915303126116046,560175.3370815067,645273.4044873096,0.01182882547472822,0.021071891002561745
1.6161616161616161,52397.81832222158,46362.47868451734,0.008531153853191998,0.024898055594239688,21368.333946249513,89693.44142931692,0.02364021683384825,0.01913441903947126
1.7171717171717171,-27889.332648887183,173823.3976403919,0.04228305895815821,0.02788633837421596,278234.854643761,539892.2487169545,0.0067325524660757415,0.015973854611016296
1.8181818181818181,-2.8761211456469984,38.93583334737165,0.05051811731790912,0.026630017194016847,-616246.5468461054,914133.8559492036,0.023600969423987223,0.01715544706268679
1.9191919191919191,-37.398229466552756,254.517298535737,0.033669179439060705,0.0287076589869052,1740911.9023651946,1776560.4452288044,0.016725762124544984,0.018682697338217362
2.0202020202020203,-256958.26892221216,576952.9929512179,0.008430622232395383,0.024651210516177743,3584908.995546554,1287844.4997927025,0.025123284934987458,0.014772285717494567
2.121212121212121,100305.60274999101,138788.2068687056,0.01673950393654406,0.02139648751638086,-5227.705562053091,50544.8096877654,0.025120400377273575,0.01979666493711153
2.2222222222222223,-2.037608333162319,25.81731860359037,0.05051639039150152,0.029361360831473615,-87838.64150869455,137343.12540991133,0.01675933067861503,0.018772695031622433
2.323232323232323,177521.59100156778,96408.56837452082,0.016724500071961843,0.02701441356659483,204.41442532614928,21992.047618352888,0.00836774004458842,0.01956506868813031
2.4242424242424243,-9.431666159675832,80.17804641712779,0.0167508244076259,0.025608045956073716,-22749.61944102804,105539.43212367046,0.02588183784479737,0.015940384105595312
2.525252525252525,-3.7356286379374124,55.014427113019195,0.008357704010383243,0.026575691635367417,1306.908991101142,11984.767012728818,0.006690546087366156,0.017145593677996722
2.6262626262626263,-17.11288530633084,151.87430199923045,0.01672753909440315,0.028800458030971553,436.34459464463094,24537.25789091209,0.03406688420991005,0.017682668686334693
2.727272727272727,-13.833649857446382,159.49608289411364,0.008355770938825958,0.02635874153470835,373941.305256238,157598.36785093052,0.017814478883562808,0.021082937765190483
2.8282828282828283,38366.58794138295,68955.79627349043,0.02512931769697362,0.027999026916721247,27172.946950878944,54246.68847619888,0.008346064019885913,0.017152990817602562
2.929292929292929,438936.7167731611,142749.68947604942,0.016724162605479636,0.025957681049261258,-7829.728536346604,130945.42162074916,0.030113486550000707,0.015364937753132645
3.0303030303030303,-97.23051745169938,668.4259400091664,0.01672546900116295,0.028832368122825615,147423.21255679536,307689.05106315383,0.01672194012501512,0.0197872424264968
3.131313131313131,135889.94420792168,82151.16370523877,0.025128260342180627,0.025073844942947225,408139.2947417687,160287.8893155682,0.02588239129448915,0.014299721249146347
3.2323232323232323,-217.87044185540023,1385.06707187639,0.01672425204048139,0.03050677492395228,124791.8950154427,113117.29309129783,0.006689592802300566,0.01739686498437397
3.3333333333333335,-167.44558245908254,1469.2079642601514,0.016722863255447123,0.028593290279149728,-31147.622785444742,397416.71704088064,0.011725429535570618,0.019205329220096216
3.4343434343434343,-2743.1167035969715,48199.20743759196,0.02512609686080835,0.02483228282779527,473580.5738229384,681470.9068151935,0.025882361433899635,0.01702070137616372
